# Pipeline output for part538.mp4
# toast_templates=templates/toast_templates  min_score=0.55
# timer_model=timer_model.pth  timer_layout=configs/timer_layout_from_anchor.json
# fps=60.0  total_frames=2185933  duration=36432s
# coarse_step=30s  fine_pad=15s
# 26 coarse hits -> 26 regions -> 308 events

timestamp           frame   timer_text timer_conf template_name                  template_score
03:37:03.000       781380                  0.4622 we_need_to_go                          0.9908
03:46:19.000       814740                  0.4367 we_need_to_go                          0.9516
03:46:20.000       814800                  0.4347 we_need_to_go                          0.9587
03:46:21.000       814860                  0.4359 we_need_to_go                          0.9820
03:46:22.000       814920                  0.4938 we_need_to_go                          0.9855
03:46:28.000       815280                  0.4977 we_need_to_go                          0.9826
03:46:29.000       815340                  0.4922 we_need_to_go                          0.9779
03:46:30.000       815400                  0.4964 we_need_to_go                          0.9839
03:46:33.000       815580                  0.4961 we_need_to_go                          0.9809
03:46:34.000       815640                  0.4913 we_need_to_go                          0.9947
03:46:36.000       815760                  0.4915 we_need_to_go                          0.9856
04:12:59.000       910740                  0.4683 we_need_to_go                          0.9809
04:13:00.000       910800                  0.4387 we_need_to_go                          0.9903
04:13:01.000       910860                  0.4377 we_need_to_go                          0.9905
04:13:04.000       911040    11:11.111     0.8213 we_need_to_go                          0.9885
04:13:07.000       911220                  0.4939 we_need_to_go                          0.9856
04:13:08.000       911280                  0.4991 we_need_to_go                          0.9899
04:13:10.000       911400                  0.4952 we_need_to_go                          0.9876
04:13:11.000       911460                  0.4940 we_need_to_go                          0.9865
04:13:12.000       911520                  0.4936 we_need_to_go                          0.9866
04:13:13.000       911580                  0.4915 we_need_to_go                          0.9862
04:13:14.000       911640                  0.4625 we_need_to_go                          0.9922
04:13:15.000       911700                  0.4604 we_need_to_go                          0.8508
04:22:20.000       944400                  0.4395 we_need_to_go                          0.9898
04:22:21.000       944460                  0.4964 we_need_to_go                          0.9855
04:22:23.000       944580                  0.4962 we_need_to_go                          0.9877
04:22:24.000       944640                  0.4921 we_need_to_go                          0.9860
04:22:26.000       944760                  0.4950 we_need_to_go                          0.9874
04:22:27.000       944820                  0.4939 we_need_to_go                          0.9876
04:22:28.000       944880                  0.4963 we_need_to_go                          0.9890
04:22:30.000       945000                  0.4931 we_need_to_go                          0.9867
04:22:31.000       945060                  0.4971 we_need_to_go                          0.9898
04:22:33.000       945180                  0.4936 we_need_to_go                          0.9905
04:22:34.000       945240                  0.4948 we_need_to_go                          0.9837
