run,run_start_timestamp,run_start_frame,run_end_timestamp,run_end_frame,toast_index,toast_timestamp,toast_frame,timer_text,timer_conf,toast_conf,template_name,timer_source
181,03:19:02.000,716520,03:22:39.983,729599,,,,,,,,
182,03:22:40.000,729600,03:23:47.983,733679,,,,,,,,
183,03:23:48.000,733680,03:24:17.983,735479,,,,,,,,
184,03:24:18.000,735480,03:30:37.983,758279,1,03:28:19.983,749999,04:03.048,0.6954,0.9772,toast1,anchor_refresh
185,03:30:38.000,758280,03:31:07.983,760079,,,,,,,,
186,03:31:08.000,760080,03:31:59.983,763199,,,,,,,,
187,03:32:00.000,763200,03:43:17.983,803879,1,03:35:37.700,776262,03:36.052,0.6185,0.9769,toast1,anchor_refresh
188,03:43:18.000,803880,03:43:39.983,805199,,,,,,,,
189,03:43:40.000,805200,03:43:59.983,806399,,,,,,,,
190,03:44:00.000,806400,03:48:43.983,823439,,,,,,,,
191,03:48:44.000,823440,03:49:05.983,824759,,,,,,,,
192,03:49:06.000,824760,04:06:13.983,886439,1,03:53:08.017,839281,03:09.497,0.6729,0.9764,toast1,anchor_refresh
192,03:49:06.000,824760,04:06:13.983,886439,2,03:59:59.950,863997,08:58.933,0.5470,0.9841,toast2,anchor_refresh
193,04:06:14.000,886440,04:06:37.983,887879,,,,,,,,
194,04:06:38.000,887880,04:07:21.983,890519,,,,,,,,
195,04:07:22.000,890520,04:08:19.983,893999,,,,,,,,
196,04:08:20.000,894000,04:08:39.983,895199,,,,,,,,
197,04:08:40.000,895200,04:09:07.983,896879,,,,,,,,
198,04:09:08.000,896880,04:09:49.983,899399,,,,,,,,
199,04:09:50.000,899400,04:12:51.983,910319,,,,,,,,
200,04:12:52.000,910320,04:13:23.983,912239,,,,,,,,
201,04:13:24.000,912240,04:13:47.983,913679,,,,,,,,
202,04:13:48.000,913680,04:14:17.983,915479,,,,,,,,
203,04:14:18.000,915480,04:15:19.983,919199,,,,,,,,
204,04:15:20.000,919200,04:15:53.983,921239,,,,,,,,
205,04:15:54.000,921240,04:16:27.983,923279,,,,,,,,
206,04:16:28.000,923280,04:17:01.983,925319,,,,,,,,
207,04:17:02.000,925320,04:24:53.983,953639,1,04:20:47.917,938875,03:42.364,0.7151,0.9768,toast1,anchor_refresh
208,04:24:54.000,953640,04:29:33.983,970439,1,04:29:20.100,969606,04:18.990,0.6880,0.9741,toast1,anchor_refresh
209,04:29:34.000,970440,04:30:17.983,973079,,,,,,,,
210,04:30:18.000,973080,04:30:39.983,974399,,,,,,,,
